connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,2353.771,PC->DEV,service,call_command,40,0C904000,05EA92B0,70f7cd615858157c,to=0C904000;from=05EA92B0
1,2355.347,DEV->PC,mebius_service,,100,00000000,0C904000,a00d7f5e59513f6f,to=00000000;from=0C904000
1,4174.628,PC->DEV,service,call_command,40,0C904000,05EA92B0,70f7cd615858157c,to=0C904000;from=05EA92B0
1,4176.258,DEV->PC,mebius_service,,100,00000000,0C904000,a00d7f5e59513f6f,to=00000000;from=0C904000
1,4186.309,PC->DEV,service,call_command,40,0C904000,05EA92B0,70f7cd615858157c,to=0C904000;from=05EA92B0
1,4187.804,DEV->PC,mebius_service,,100,00000000,0C904000,a00d7f5e59513f6f,to=00000000;from=0C904000
1,5201.69,PC->DEV,start,start,28,0C904000,05EA92B0,1c1875fb1fb44bb4,to=0C904000;from=05EA92B0
1,5203.513,DEV->PC,mebius_service,,84,00000000,3E904000,b5a328ee6405d7a2,to=00000000;from=3E904000
1,5203.513,DEV->PC,mebius_service,,32,00000000,0C904000,42ee667be90b71dd,to=00000000;from=0C904000
1,5353.375,DEV->PC,mebius_service,,4140,00000000,3E904000,de1fda75f8d58fb4,to=00000000;from=3E904000
1,5503.233,DEV->PC,mebius_service,,4140,00000000,3E904000,f1257147b8faf6bd,to=00000000;from=3E904000
1,5653.208,DEV->PC,mebius_service,,4140,00000000,3E904000,fd4b82871ad52e7c,to=00000000;from=3E904000
1,5803.222,DEV->PC,mebius_service,,4140,00000000,3E904000,faac4f7315c26c0c,to=00000000;from=3E904000
1,5953.221,DEV->PC,mebius_service,,4140,00000000,3E904000,ac8dd3da6bed8e14,to=00000000;from=3E904000
1,5999.883,DEV->PC,mebius_service,,84,00000000,3E904000,009c1b66dc7ce658,to=00000000;from=3E904000
1,6103.227,DEV->PC,mebius_service,,4140,00000000,3E904000,8e9d1a53b30a742b,to=00000000;from=3E904000
1,6202.964,DEV->PC,mebius_service,,84,00000000,3E904000,363507266f0c8735,to=00000000;from=3E904000
1,6253.206,DEV->PC,mebius_service,,4140,00000000,3E904000,9625782c16b99457,to=00000000;from=3E904000
1,6403.235,DEV->PC,mebius_service,,4140,00000000,3E904000,5588c02d43f3da1f,to=00000000;from=3E904000
1,6553.213,DEV->PC,mebius_service,,4140,00000000,3E904000,f3dffc4debe48646,to=00000000;from=3E904000
1,6703.18,DEV->PC,mebius_service,,4140,00000000,3E904000,1ab2bcb163d3a9a6,to=00000000;from=3E904000
1,6853.137,DEV->PC,mebius_service,,4140,00000000,3E904000,8c98e4a0cf73c9bb,to=00000000;from=3E904000
1,7001.034,DEV->PC,mebius_service,,84,00000000,3E904000,45b1d8aa44944de3,to=00000000;from=3E904000
1,7003.176,DEV->PC,mebius_service,,4140,00000000,3E904000,b7e19ca0a9cd5910,to=00000000;from=3E904000
1,7153.209,DEV->PC,mebius_service,,4140,00000000,3E904000,a6679c08d779c3a8,to=00000000;from=3E904000
1,7202.977,DEV->PC,mebius_service,,84,00000000,3E904000,af7d7696550bea93,to=00000000;from=3E904000
1,7303.176,DEV->PC,mebius_service,,4140,00000000,3E904000,b6e287c9212a843b,to=00000000;from=3E904000
1,7453.247,DEV->PC,mebius_service,,4140,00000000,3E904000,15b611d49fd01f0b,to=00000000;from=3E904000
1,7603.29,DEV->PC,mebius_service,,4140,00000000,3E904000,60ca67f28ea3c62d,to=00000000;from=3E904000
1,7753.158,DEV->PC,mebius_service,,4140,00000000,3E904000,505514d5ad0a15ff,to=00000000;from=3E904000
1,7903.17,DEV->PC,mebius_service,,4140,00000000,3E904000,bc8891498e0fc4b3,to=00000000;from=3E904000
1,8001.121,DEV->PC,mebius_service,,84,00000000,3E904000,47637ad8a32147da,to=00000000;from=3E904000
1,8053.172,DEV->PC,mebius_service,,4140,00000000,3E904000,333f30146b20d404,to=00000000;from=3E904000
1,8203.314,DEV->PC,mebius_service,,4140,00000000,3E904000,d3a35022f8d85907,to=00000000;from=3E904000
1,8203.476,DEV->PC,mebius_service,,84,00000000,3E904000,8654f06dec0840b8,to=00000000;from=3E904000
1,8353.247,DEV->PC,mebius_service,,4140,00000000,3E904000,d3e9c02765f49cc8,to=00000000;from=3E904000
1,8503.229,DEV->PC,mebius_service,,4140,00000000,3E904000,5ead04eb3a837c23,to=00000000;from=3E904000
1,8653.271,DEV->PC,mebius_service,,4140,00000000,3E904000,2ca924d5e68deeac,to=00000000;from=3E904000
1,8803.279,DEV->PC,mebius_service,,4140,00000000,3E904000,3a2efd800dea37d1,to=00000000;from=3E904000
1,8953.24,DEV->PC,mebius_service,,4140,00000000,3E904000,5a1d06191147c753,to=00000000;from=3E904000
1,9001.339,DEV->PC,mebius_service,,84,00000000,3E904000,848d934a60a840fe,to=00000000;from=3E904000
1,9103.203,DEV->PC,mebius_service,,4140,00000000,3E904000,a2498a2be641bd27,to=00000000;from=3E904000
1,9202.954,DEV->PC,mebius_service,,84,00000000,3E904000,a9ef3cd406a42118,to=00000000;from=3E904000
1,9253.113,DEV->PC,mebius_service,,4140,00000000,3E904000,415659025c46d5ba,to=00000000;from=3E904000
1,9403.179,DEV->PC,mebius_service,,4140,00000000,3E904000,29a60e450db7fe98,to=00000000;from=3E904000
1,9553.247,DEV->PC,mebius_service,,4140,00000000,3E904000,ff6b1d1c623fe413,to=00000000;from=3E904000
1,9703.128,DEV->PC,mebius_service,,4140,00000000,3E904000,d132fe0bf102997c,to=00000000;from=3E904000
1,9853.175,DEV->PC,mebius_service,,4140,00000000,3E904000,3d5ea9ff243417b7,to=00000000;from=3E904000
1,10000.378,DEV->PC,mebius_service,,84,00000000,3E904000,99573ddd6496b023,to=00000000;from=3E904000
1,10003.133,DEV->PC,mebius_service,,4140,00000000,3E904000,05be349ce1550765,to=00000000;from=3E904000
1,10153.208,DEV->PC,mebius_service,,4140,00000000,3E904000,5b1e2ca9ab5ed00a,to=00000000;from=3E904000
1,10202.994,DEV->PC,mebius_service,,84,00000000,3E904000,f4ad688ec0934e52,to=00000000;from=3E904000
1,10303.188,DEV->PC,mebius_service,,4140,00000000,3E904000,b33d39b6219643da,to=00000000;from=3E904000
1,10453.255,DEV->PC,mebius_service,,4140,00000000,3E904000,59ee36a1cc4a4d30,to=00000000;from=3E904000
1,10603.156,DEV->PC,mebius_service,,4140,00000000,3E904000,d4c18f3cdf7278c7,to=00000000;from=3E904000
1,10753.198,DEV->PC,mebius_service,,4140,00000000,3E904000,f51eed467ff6b1a6,to=00000000;from=3E904000
1,10903.138,DEV->PC,mebius_service,,4140,00000000,3E904000,b3ff7aae37fb0fab,to=00000000;from=3E904000
1,11001.529,DEV->PC,mebius_service,,84,00000000,3E904000,719fc937be6a5dd5,to=00000000;from=3E904000
1,11053.312,DEV->PC,mebius_service,,4140,00000000,3E904000,4c5af90c5142566c,to=00000000;from=3E904000
