# MIC-185 192.168.9.155:4000; packets=472
# idx  relative    delta direction flags      seq        ack        payload wire
     1      0.000    0.000 DEV->PC ACK        3395922764 3419068070       0    64
     2      0.073    0.073 PC->DEV ACK        3419068070 3395922765       0    54
     3     65.514   65.441 PC->DEV ACK        3419068069 3395922765       1    55
     4     65.769    0.255 DEV->PC ACK        3395922765 3419068070       0    64
     5   2353.771 2288.002 PC->DEV ACK|PSH    3419068070 3395922765      40    94
     6   2354.045    0.274 DEV->PC ACK        3395922765 3419068110       0    64
     7   2355.347    1.302 DEV->PC ACK|PSH    3395922765 3419068110     100   154
     8   2410.126   54.779 PC->DEV ACK        3419068110 3395922865       0    54
     9   4174.628 1764.502 PC->DEV ACK|PSH    3419068110 3395922865      40    94
    10   4174.940    0.312 DEV->PC ACK        3395922865 3419068150       0    64
    11   4176.258    1.318 DEV->PC ACK|PSH    3395922865 3419068150     100   154
    12   4186.309   10.051 PC->DEV ACK|PSH    3419068150 3395922965      40    94
    13   4186.612    0.303 DEV->PC ACK        3395922965 3419068190       0    64
    14   4187.804    1.192 DEV->PC ACK|PSH    3395922965 3419068190     100   154
    15   4235.006   47.202 PC->DEV ACK        3419068190 3395923065       0    54
    16   5201.690  966.684 PC->DEV ACK|PSH    3419068190 3395923065      28    82
    17   5202.307    0.617 DEV->PC ACK        3395923065 3419068218       0    64
    18   5203.513    1.206 DEV->PC ACK|PSH    3395923065 3419068218     116   170
    19   5247.669   44.156 PC->DEV ACK        3419068218 3395923181       0    54
    20   5353.375  105.706 DEV->PC ACK        3395923181 3419068218    1460  1514
    21   5353.471    0.096 DEV->PC ACK        3395924641 3419068218    1460  1514
    22   5353.477    0.006 PC->DEV ACK        3419068218 3395926101       0    54
    23   5353.542    0.065 DEV->PC ACK|PSH    3395926101 3419068218    1220  1274
    24   5404.101   50.559 PC->DEV ACK        3419068218 3395927321       0    54
    25   5503.233   99.132 DEV->PC ACK        3395927321 3419068218    1460  1514
    26   5503.340    0.107 DEV->PC ACK        3395928781 3419068218    1460  1514
    27   5503.349    0.009 PC->DEV ACK        3419068218 3395930241       0    54
    28   5503.412    0.063 DEV->PC ACK|PSH    3395930241 3419068218    1220  1274
    29   5545.556   42.144 PC->DEV ACK        3419068218 3395931461       0    54
    30   5653.208  107.652 DEV->PC ACK        3395931461 3419068218    1460  1514
    31   5653.326    0.118 DEV->PC ACK        3395932921 3419068218    1460  1514
    32   5653.334    0.008 PC->DEV ACK        3419068218 3395934381       0    54
    33   5653.412    0.078 DEV->PC ACK|PSH    3395934381 3419068218    1220  1274
    34   5700.989   47.577 PC->DEV ACK        3419068218 3395935601       0    54
    35   5803.222  102.233 DEV->PC ACK        3395935601 3419068218    1460  1514
    36   5803.341    0.119 DEV->PC ACK        3395937061 3419068218    1460  1514
    37   5803.349    0.008 PC->DEV ACK        3419068218 3395938521       0    54
    38   5803.400    0.051 DEV->PC ACK|PSH    3395938521 3419068218    1220  1274
    39   5857.546   54.146 PC->DEV ACK        3419068218 3395939741       0    54
    40   5953.221   95.675 DEV->PC ACK        3395939741 3419068218    1460  1514
    41   5953.338    0.117 DEV->PC ACK        3395941201 3419068218    1460  1514
    42   5953.346    0.008 PC->DEV ACK        3419068218 3395942661       0    54
    43   5953.398    0.052 DEV->PC ACK|PSH    3395942661 3419068218    1220  1274
    44   5998.109   44.711 PC->DEV ACK        3419068218 3395943881       0    54
    45   5999.883    1.774 DEV->PC ACK|PSH    3395943881 3419068218      84   138
    46   6044.961   45.078 PC->DEV ACK        3419068218 3395943965       0    54
