# MIC-185 192.168.9.155:4000; packets=1094
# idx  relative    delta direction flags      seq        ack        payload wire
     1      0.000    0.000 PC->DEV SYN         533001894          0       0    66
     2      1.935    1.935 DEV->PC ACK|SYN    4169042432  533001895       0    64
     3      1.981    0.046 PC->DEV ACK         533001895 4169042433       0    54
     4      3.322    1.341 PC->DEV ACK|PSH     533001895 4169042433      32    86
     5      3.613    0.291 DEV->PC ACK        4169042433  533001927       0    64
     6     33.836   30.223 DEV->PC ACK|PSH    4169042433  533001927      40    94
     7     45.318   11.482 PC->DEV ACK|PSH     533001927 4169042473      32    86
     8     45.784    0.466 DEV->PC ACK        4169042473  533001959       0    64
     9     47.570    1.786 DEV->PC ACK|PSH    4169042473  533001959      52   106
    10     90.665   43.095 PC->DEV ACK         533001959 4169042525       0    54
    11     95.038    4.373 PC->DEV ACK|PSH     533001959 4169042525      40    94
    12     95.246    0.208 DEV->PC ACK        4169042525  533001999       0    64
    13     96.502    1.256 DEV->PC ACK|PSH    4169042525  533001999     100   154
    14    119.905   23.403 PC->DEV ACK|PSH     533001999 4169042625      32    86
    15    120.183    0.278 DEV->PC ACK        4169042625  533002031       0    64
    16    121.340    1.157 DEV->PC ACK|PSH    4169042625  533002031      40    94
    17    123.574    2.234 PC->DEV ACK|PSH     533002031 4169042665      32    86
    18    123.838    0.264 DEV->PC ACK        4169042665  533002063       0    64
    19    125.015    1.177 DEV->PC ACK|PSH    4169042665  533002063      40    94
    20    125.216    0.201 PC->DEV ACK|PSH     533002063 4169042705      48   102
    21    125.474    0.258 DEV->PC ACK        4169042705  533002111       0    64
    22    126.711    1.237 DEV->PC ACK|PSH    4169042705  533002111     124   178
    23    126.785    0.074 PC->DEV ACK|PSH     533002111 4169042829      48   102
    24    127.017    0.232 DEV->PC ACK        4169042829  533002159       0    64
    25    128.213    1.196 DEV->PC ACK|PSH    4169042829  533002159     124   178
    26    128.285    0.072 PC->DEV ACK|PSH     533002159 4169042953      48   102
    27    128.464    0.179 DEV->PC ACK        4169042953  533002207       0    64
    28    129.688    1.224 DEV->PC ACK|PSH    4169042953  533002207     124   178
    29    129.758    0.070 PC->DEV ACK|PSH     533002207 4169043077      48   102
    30    129.910    0.152 DEV->PC ACK        4169043077  533002255       0    64
    31    131.084    1.174 DEV->PC ACK|PSH    4169043077  533002255     124   178
    32    131.161    0.077 PC->DEV ACK|PSH     533002255 4169043201      48   102
    33    131.373    0.212 DEV->PC ACK        4169043201  533002303       0    64
    34    132.546    1.173 DEV->PC ACK|PSH    4169043201  533002303     124   178
    35    132.612    0.066 PC->DEV ACK|PSH     533002303 4169043325      48   102
    36    132.779    0.167 DEV->PC ACK        4169043325  533002351       0    64
    37    133.924    1.145 DEV->PC ACK|PSH    4169043325  533002351     124   178
    38    133.996    0.072 PC->DEV ACK|PSH     533002351 4169043449      48   102
    39    134.156    0.160 DEV->PC ACK        4169043449  533002399       0    64
    40    135.386    1.230 DEV->PC ACK|PSH    4169043449  533002399     124   178
    41    135.458    0.072 PC->DEV ACK|PSH     533002399 4169043573      48   102
    42    135.637    0.179 DEV->PC ACK        4169043573  533002447       0    64
    43    136.960    1.323 DEV->PC ACK|PSH    4169043573  533002447     124   178
    44    137.107    0.147 PC->DEV ACK|PSH     533002447 4169043697      48   102
    45    137.258    0.151 DEV->PC ACK        4169043697  533002495       0    64
    46    138.652    1.394 DEV->PC ACK|PSH    4169043697  533002495     124   178
