connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
1,3.823,PC->DEV,alive_request,query_session,28,0C904000,096A7050,fa2ca0b321760f8c,to=0C904000;from=096A7050
1,11.985,DEV->PC,mebius_service,,40,00000000,0C904000,8930b14aa576a4e4,to=00000000;from=0C904000
1,34.152,PC->DEV,service,ioctl_00010054,28,0C904000,096A7050,715df6e3416eded3,to=0C904000;from=096A7050
1,36.427,DEV->PC,mebius_service,,52,00000000,0C904000,cb55ba25e7d91d1a,to=00000000;from=0C904000
1,111.397,PC->DEV,service,call_command,40,0C904000,096A7050,0a0c8cf2c5e337a7,to=0C904000;from=096A7050
1,112.935,DEV->PC,mebius_service,,100,00000000,0C904000,2a9f779c060b78c1,to=00000000;from=0C904000
1,135.393,PC->DEV,alive_request,query_session,28,0C904000,096A7050,fa2ca0b321760f8c,to=0C904000;from=096A7050
1,136.951,DEV->PC,mebius_service,,40,00000000,0C904000,8930b14aa576a4e4,to=00000000;from=0C904000
1,139.397,PC->DEV,alive_request,query_session,28,0C904000,096A7050,fa2ca0b321760f8c,to=0C904000;from=096A7050
1,140.745,DEV->PC,mebius_service,,40,00000000,0C904000,8930b14aa576a4e4,to=00000000;from=0C904000
1,143.006,PC->DEV,service,call_command,41,0C904000,096A7050,626e43f8a704d9e7,to=0C904000;from=096A7050
1,144.438,DEV->PC,mebius_service,,124,00000000,0C904000,6fd56f87803e2ab6,to=00000000;from=0C904000
1,146.687,PC->DEV,service,call_command,41,0C904000,096A7050,72d4126477725081,to=0C904000;from=096A7050
1,148.151,DEV->PC,mebius_service,,124,00000000,0C904000,f549ac0a79f4567b,to=00000000;from=0C904000
1,149.546,PC->DEV,service,call_command,41,0C904000,096A7050,291d143f7fea711c,to=0C904000;from=096A7050
1,150.929,DEV->PC,mebius_service,,124,00000000,0C904000,99313372c1890154,to=00000000;from=0C904000
1,152.887,PC->DEV,service,call_command,41,0C904000,096A7050,6c69742ea616d56e,to=0C904000;from=096A7050
1,154.229,DEV->PC,mebius_service,,124,00000000,0C904000,7a80237fff136645,to=00000000;from=0C904000
1,154.306,PC->DEV,service,call_command,41,0C904000,096A7050,e78ef482bf11e49b,to=0C904000;from=096A7050
1,155.722,DEV->PC,mebius_service,,124,00000000,0C904000,88868def9fd85294,to=00000000;from=0C904000
1,155.844,PC->DEV,service,call_command,41,0C904000,096A7050,4bfb2806d3e1ad33,to=0C904000;from=096A7050
1,157.218,DEV->PC,mebius_service,,124,00000000,0C904000,c22cc39287fd70ef,to=00000000;from=0C904000
1,157.327,PC->DEV,service,call_command,41,0C904000,096A7050,8897cca5fbf45c8e,to=0C904000;from=096A7050
1,158.67,DEV->PC,mebius_service,,124,00000000,0C904000,6e28f43483fd2aa8,to=00000000;from=0C904000
