# MIC-185 192.168.9.155:4000; packets=794
# idx  relative    delta direction flags      seq        ack        payload wire
     1      0.000    0.000 PC->DEV SYN        1893634508          0       0    66
     2      1.655    1.655 DEV->PC ACK|SYN    4237138432 1893634509       0    64
     3      1.704    0.049 PC->DEV ACK        1893634509 4237138433       0    54
     4      3.823    2.119 PC->DEV ACK|PSH    1893634509 4237138433      32    86
     5      4.088    0.265 DEV->PC ACK        4237138433 1893634541       0    64
     6     11.985    7.897 DEV->PC ACK|PSH    4237138433 1893634541      40    94
     7     34.152   22.167 PC->DEV ACK|PSH    1893634541 4237138473      32    86
     8     34.410    0.258 DEV->PC ACK        4237138473 1893634573       0    64
     9     36.427    2.017 DEV->PC ACK|PSH    4237138473 1893634573      52   106
    10     83.551   47.124 PC->DEV ACK        1893634573 4237138525       0    54
    11    111.397   27.846 PC->DEV ACK|PSH    1893634573 4237138525      40    94
    12    111.657    0.260 DEV->PC ACK        4237138525 1893634613       0    64
    13    112.935    1.278 DEV->PC ACK|PSH    4237138525 1893634613     100   154
    14    135.393   22.458 PC->DEV ACK|PSH    1893634613 4237138625      32    86
    15    135.594    0.201 DEV->PC ACK        4237138625 1893634645       0    64
    16    136.951    1.357 DEV->PC ACK|PSH    4237138625 1893634645      40    94
    17    139.397    2.446 PC->DEV ACK|PSH    1893634645 4237138665      32    86
    18    139.591    0.194 DEV->PC ACK        4237138665 1893634677       0    64
    19    140.745    1.154 DEV->PC ACK|PSH    4237138665 1893634677      40    94
    20    143.006    2.261 PC->DEV ACK|PSH    1893634677 4237138705      48   102
    21    143.216    0.210 DEV->PC ACK        4237138705 1893634725       0    64
    22    144.438    1.222 DEV->PC ACK|PSH    4237138705 1893634725     124   178
    23    146.687    2.249 PC->DEV ACK|PSH    1893634725 4237138829      48   102
    24    146.907    0.220 DEV->PC ACK        4237138829 1893634773       0    64
    25    148.151    1.244 DEV->PC ACK|PSH    4237138829 1893634773     124   178
    26    149.546    1.395 PC->DEV ACK|PSH    1893634773 4237138953      48   102
    27    149.788    0.242 DEV->PC ACK        4237138953 1893634821       0    64
    28    150.929    1.141 DEV->PC ACK|PSH    4237138953 1893634821     124   178
    29    152.887    1.958 PC->DEV ACK|PSH    1893634821 4237139077      48   102
    30    153.094    0.207 DEV->PC ACK        4237139077 1893634869       0    64
    31    154.229    1.135 DEV->PC ACK|PSH    4237139077 1893634869     124   178
    32    154.306    0.077 PC->DEV ACK|PSH    1893634869 4237139201      48   102
    33    154.463    0.157 DEV->PC ACK        4237139201 1893634917       0    64
    34    155.722    1.259 DEV->PC ACK|PSH    4237139201 1893634917     124   178
    35    155.844    0.122 PC->DEV ACK|PSH    1893634917 4237139325      48   102
    36    156.040    0.196 DEV->PC ACK        4237139325 1893634965       0    64
    37    157.218    1.178 DEV->PC ACK|PSH    4237139325 1893634965     124   178
    38    157.327    0.109 PC->DEV ACK|PSH    1893634965 4237139449      48   102
    39    157.460    0.133 DEV->PC ACK        4237139449 1893635013       0    64
    40    158.670    1.210 DEV->PC ACK|PSH    4237139449 1893635013     124   178
    41    158.796    0.126 PC->DEV ACK|PSH    1893635013 4237139573      48   102
    42    158.956    0.160 DEV->PC ACK        4237139573 1893635061       0    64
    43    160.391    1.435 DEV->PC ACK|PSH    4237139573 1893635061     124   178
    44    160.474    0.083 PC->DEV ACK|PSH    1893635061 4237139697      48   102
    45    160.656    0.182 DEV->PC ACK        4237139697 1893635109       0    64
    46    161.958    1.302 DEV->PC ACK|PSH    4237139697 1893635109     124   178
    47    162.045    0.087 PC->DEV ACK|PSH    1893635109 4237139821      48   102
    48    162.329    0.284 DEV->PC ACK        4237139821 1893635157       0    64
    49    163.523    1.194 DEV->PC ACK|PSH    4237139821 1893635157     124   178
    50    163.778    0.255 PC->DEV ACK|PSH    1893635157 4237139945      48   102
    51    164.078    0.300 DEV->PC ACK        4237139945 1893635205       0    64
    52    165.267    1.189 DEV->PC ACK|PSH    4237139945 1893635205     124   178
    53    167.444    2.177 PC->DEV ACK|PSH    1893635205 4237140069      48   102
    54    167.579    0.135 DEV->PC ACK        4237140069 1893635253       0    64
    55    169.032    1.453 DEV->PC ACK|PSH    4237140069 1893635253     124   178
    56    169.112    0.080 PC->DEV ACK|PSH    1893635253 4237140193      48   102
    57    169.280    0.168 DEV->PC ACK        4237140193 1893635301       0    64
    58    170.769    1.489 DEV->PC ACK|PSH    4237140193 1893635301     124   178
    59    172.923    2.154 PC->DEV ACK|PSH    1893635301 4237140317      48   102
    60    173.186    0.263 DEV->PC ACK        4237140317 1893635349       0    64
    61    174.407    1.221 DEV->PC ACK|PSH    4237140317 1893635349     124   178
    62    174.579    0.172 PC->DEV ACK|PSH    1893635349 4237140441      48   102
    63    174.724    0.145 DEV->PC ACK        4237140441 1893635397       0    64
    64    175.940    1.216 DEV->PC ACK|PSH    4237140441 1893635397     124   178
    65    176.102    0.162 PC->DEV ACK|PSH    1893635397 4237140565      48   102
    66    176.259    0.157 DEV->PC ACK        4237140565 1893635445       0    64
    67    177.475    1.216 DEV->PC ACK|PSH    4237140565 1893635445     124   178
    68    177.641    0.166 PC->DEV ACK|PSH    1893635445 4237140689      48   102
    69    177.772    0.131 DEV->PC ACK        4237140689 1893635493       0    64
    70    178.996    1.224 DEV->PC ACK|PSH    4237140689 1893635493     124   178
    71    179.167    0.171 PC->DEV ACK|PSH    1893635493 4237140813      48   102
    72    179.321    0.154 DEV->PC ACK        4237140813 1893635541       0    64
    73    180.551    1.230 DEV->PC ACK|PSH    4237140813 1893635541     124   178
    74    180.726    0.175 PC->DEV ACK|PSH    1893635541 4237140937      48   102
    75    180.876    0.150 DEV->PC ACK        4237140937 1893635589       0    64
    76    182.031    1.155 DEV->PC ACK|PSH    4237140937 1893635589     124   178
    77    182.205    0.174 PC->DEV ACK|PSH    1893635589 4237141061      48   102
    78    182.362    0.157 DEV->PC ACK        4237141061 1893635637       0    64
    79    183.528    1.166 DEV->PC ACK|PSH    4237141061 1893635637     124   178
    80    183.660    0.132 PC->DEV ACK|PSH    1893635637 4237141185      48   102
    81    183.828    0.168 DEV->PC ACK        4237141185 1893635685       0    64
    82    185.200    1.372 DEV->PC ACK|PSH    4237141185 1893635685     124   178
    83    185.280    0.080 PC->DEV ACK|PSH    1893635685 4237141309      48   102
    84    185.545    0.265 DEV->PC ACK        4237141309 1893635733       0    64
    85    186.882    1.337 DEV->PC ACK|PSH    4237141309 1893635733     124   178
    86    186.979    0.097 PC->DEV ACK|PSH    1893635733 4237141433      48   102
    87    187.219    0.240 DEV->PC ACK        4237141433 1893635781       0    64
    88    188.414    1.195 DEV->PC ACK|PSH    4237141433 1893635781     124   178
    89    188.541    0.127 PC->DEV ACK|PSH    1893635781 4237141557      48   102
    90    188.724    0.183 DEV->PC ACK        4237141557 1893635829       0    64
    91    190.160    1.436 DEV->PC ACK|PSH    4237141557 1893635829     124   178
    92    190.294    0.134 PC->DEV ACK|PSH    1893635829 4237141681      48   102
    93    190.442    0.148 DEV->PC ACK        4237141681 1893635877       0    64
