connection,relative_ms,direction,event,ioctl,packet_size,id_to,id_from,sha256,detail
1,0.0,TCP,connect,,0,,,,
1,26.21,TCP,disconnect,,0,,,,
2,81.656,TCP,connect,,0,,,,
1,335.672,TCP,disconnect,,0,,,,
1,943.194,TCP,disconnect,,0,,,,
2,1085.524,TCP,connect,,0,,,,
1,2148.532,TCP,disconnect,,0,,,,
1,4548.918,TCP,disconnect,,0,,,,
2,6038.72,TCP,disconnect,,0,,,,
1,9238.74,TCP,disconnect,,0,,,,
3,10403.807,TCP,connect,,0,,,,
3,11436.636,PC->DEV,service,call_command,40,0C904000,06B17E20,ff5f138ef28148fb,to=0C904000;from=06B17E20
3,11438.374,DEV->PC,mebius_service,,100,00000000,0C904000,a00d7f5e59513f6f,to=00000000;from=0C904000
3,11461.097,PC->DEV,service,call_command,44,0C904000,06B17E20,85a462b1c22315de,to=0C904000;from=06B17E20
3,11462.559,DEV->PC,mebius_service,,36,00000000,0C904000,bb41ab0032e49ffe,to=00000000;from=0C904000
3,11470.794,DEV->PC,mebius_service,,32,00000000,0C904000,7587ed87bb12d72f,to=00000000;from=0C904000
3,11471.478,PC->DEV,reset_reconnect_init,set_session,32,0C904000,06B17E20,5de102a62067f4ef,to=0C904000;from=06B17E20
3,11473.073,DEV->PC,mebius_service,,32,00000000,0C904000,6c36ae1de736c1d2,to=00000000;from=0C904000
3,11473.324,PC->DEV,configure_apply,program,28,0C904000,06B17E20,5294398522653daa,to=0C904000;from=06B17E20
3,11474.968,DEV->PC,mebius_service,,32,00000000,0C904000,4823627111b5cb97,to=00000000;from=0C904000
3,13687.957,PC->DEV,service,call_command,40,0C904000,06B17E20,ff5f138ef28148fb,to=0C904000;from=06B17E20
3,13689.457,DEV->PC,mebius_service,,100,00000000,0C904000,a00d7f5e59513f6f,to=00000000;from=0C904000
3,18712.574,PC->DEV,service,call_command,40,0C904000,06B17E20,ff5f138ef28148fb,to=0C904000;from=06B17E20
3,18713.998,DEV->PC,mebius_service,,100,00000000,0C904000,a00d7f5e59513f6f,to=00000000;from=0C904000
3,25269.884,TCP,disconnect,,0,,,,
3,25270.512,TCP,disconnect,,0,,,,
4,26397.46,TCP,connect,,0,,,,
