# MIC-185 192.168.9.155:4000; packets=1803
# idx  relative    delta direction flags      seq        ack        payload wire
     1      0.000    0.000 PC->DEV SYN        2982717287          0       0    66
     2      1.627    1.627 DEV->PC ACK|SYN    3241298432 2982717288       0    64
     3      1.691    0.064 PC->DEV ACK        2982717288 3241298433       0    54
     4     26.210   24.519 PC->DEV ACK|FIN    2982717288 3241298433       0    54
     5     81.656   55.446 PC->DEV SYN        3879186663          0       0    66
     6    335.672  254.016 PC->DEV ACK|FIN    2982717288 3241298433       0    54
     7    943.194  607.522 PC->DEV ACK|FIN    2982717288 3241298433       0    54
     8   1085.524  142.330 PC->DEV SYN        3879186663          0       0    66
     9   2148.532 1063.008 PC->DEV ACK|FIN    2982717288 3241298433       0    54
    10   4548.918 2400.386 PC->DEV ACK|FIN    2982717288 3241298433       0    54
    11   6038.717 1489.799 DEV->PC ACK|SYN    3241426432 3879186664       0    64
    12   6038.720    0.003 DEV->PC ACK|RST    3241426433 3879186664       0    64
    13   9238.740 3200.020 DEV->PC ACK|FIN    3241298433 2982717289       0    64
    14   9238.954    0.214 PC->DEV ACK        2982717289 3241298434       0    54
    15  10403.807 1164.853 PC->DEV SYN          65039363          0       0    66
    16  10404.138    0.331 DEV->PC ACK|SYN    3248082432   65039364       0    64
    17  10404.187    0.049 PC->DEV ACK          65039364 3248082433       0    54
    18  11436.636 1032.449 PC->DEV ACK|PSH      65039364 3248082433      40    94
    19  11436.987    0.351 DEV->PC ACK        3248082433   65039404       0    64
    20  11438.374    1.387 DEV->PC ACK|PSH    3248082433   65039404     100   154
    21  11461.097   22.723 PC->DEV ACK|PSH      65039404 3248082533      44    98
    22  11461.388    0.291 DEV->PC ACK        3248082533   65039448       0    64
    23  11462.559    1.171 DEV->PC ACK|PSH    3248082533   65039448      36    90
    24  11462.856    0.297 PC->DEV ACK|PSH      65039448 3248082569       0  4066
    25  11465.658    2.802 DEV->PC ACK        3248082569   65043460       0    64
    26  11470.794    5.136 DEV->PC ACK|PSH    3248082569   65043460      32    86
    27  11471.478    0.684 PC->DEV ACK|PSH      65043460 3248082601      32    86
    28  11471.792    0.314 DEV->PC ACK        3248082601   65043492       0    64
    29  11473.073    1.281 DEV->PC ACK|PSH    3248082601   65043492      32    86
    30  11473.324    0.251 PC->DEV ACK|PSH      65043492 3248082633      28    82
    31  11473.537    0.213 DEV->PC ACK        3248082633   65043520       0    64
    32  11474.968    1.431 DEV->PC ACK|PSH    3248082633   65043520      32    86
    33  11517.014   42.046 PC->DEV ACK          65043520 3248082665       0    54
    34  13687.957 2170.943 PC->DEV ACK|PSH      65043520 3248082665      40    94
    35  13688.233    0.276 DEV->PC ACK        3248082665   65043560       0    64
    36  13689.457    1.224 DEV->PC ACK|PSH    3248082665   65043560     100   154
    37  13744.060   54.603 PC->DEV ACK          65043560 3248082765       0    54
    38  18697.481 4953.421 PC->DEV ACK          65043559 3248082765       1    55
    39  18697.707    0.226 DEV->PC ACK        3248082765   65043560       0    64
    40  18712.574   14.867 PC->DEV ACK|PSH      65043560 3248082765      40    94
    41  18712.765    0.191 DEV->PC ACK        3248082765   65043600       0    64
    42  18713.998    1.233 DEV->PC ACK|PSH    3248082765   65043600     100   154
    43  18760.449   46.451 PC->DEV ACK          65043600 3248082865       0    54
    44  23721.500 4961.051 PC->DEV ACK          65043599 3248082865       1    55
    45  23721.753    0.253 DEV->PC ACK        3248082865   65043600       0    64
    46  25269.884 1548.131 PC->DEV ACK|FIN      65043600 3248082865       0    54
    47  25270.186    0.302 DEV->PC ACK        3248082865   65043601       0    64
    48  25270.512    0.326 DEV->PC ACK|FIN    3248082865   65043601       0    64
    49  25270.537    0.025 PC->DEV ACK          65043601 3248082866       0    54
    50  26397.460 1126.923 PC->DEV SYN        1688716900          0       0    66
    51  26397.781    0.321 DEV->PC ACK|SYN    3258386432 1688716901       0    64
    52  26397.826    0.045 PC->DEV ACK        1688716901 3258386433       0    54
    53  27434.041 1036.215 PC->DEV ACK|PSH    1688716901 3258386433      40    94
    54  27434.295    0.254 DEV->PC ACK        3258386433 1688716941       0    64
    55  27435.619    1.324 DEV->PC ACK|PSH    3258386433 1688716941     100   154
    56  27463.088   27.469 PC->DEV ACK|PSH    1688716941 3258386533      44    98
    57  27463.378    0.290 DEV->PC ACK        3258386533 1688716985       0    64
    58  27464.617    1.239 DEV->PC ACK|PSH    3258386533 1688716985      36    90
    59  27464.909    0.292 PC->DEV ACK|PSH    1688716985 3258386569       0  4066
    60  27467.634    2.725 DEV->PC ACK        3258386569 1688720997       0    64
    61  27472.679    5.045 DEV->PC ACK|PSH    3258386569 1688720997      32    86
    62  27473.298    0.619 PC->DEV ACK|PSH    1688720997 3258386601      32    86
    63  27473.629    0.331 DEV->PC ACK        3258386601 1688721029       0    64
    64  27474.959    1.330 DEV->PC ACK|PSH    3258386601 1688721029      32    86
    65  27475.339    0.380 PC->DEV ACK|PSH    1688721029 3258386633      28    82
    66  27475.631    0.292 DEV->PC ACK        3258386633 1688721057       0    64
    67  27477.062    1.431 DEV->PC ACK|PSH    3258386633 1688721057      32    86
    68  27526.323   49.261 PC->DEV ACK        1688721057 3258386665       0    54
    69  32176.784 4650.461 PC->DEV ACK|FIN    1688721057 3258386665       0    54
    70  32177.015    0.231 DEV->PC ACK        3258386665 1688721058       0    64
    71  32177.334    0.319 DEV->PC ACK|FIN    3258386665 1688721058       0    64
    72  32177.359    0.025 PC->DEV ACK        1688721058 3258386666       0    54
    73  34972.753 2795.394 PC->DEV SYN        2164019711          0       0    66
    74  34973.110    0.357 DEV->PC ACK|SYN    3263954432 2164019712       0    64
    75  34973.145    0.035 PC->DEV ACK        2164019712 3263954433       0    54
    76  36002.903 1029.758 PC->DEV ACK|PSH    2164019712 3263954433      40    94
    77  36003.162    0.259 DEV->PC ACK        3263954433 2164019752       0    64
    78  36004.540    1.378 DEV->PC ACK|PSH    3263954433 2164019752     100   154
