Номер изделия:;;
Дата испытания:;;
Вид нагружения:;;



;;время;470.000;505.225;510.806;516.219;521.506;527.019;532.531;537.975;541.975;560.456;562.275;564.200;566.281;568.806;572.175;590.556;590.900;600.000;
;;TDD01[кгс/смкв];-0.000;5.003;10.005;15.009;20.014;25.017;30.019;35.020;36.699;30.019;25.026;20.003;14.998;10.002;4.987;0.044;0.067;0.008;
;;TD01[%];0.001;-0.829;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.824;-0.010;-0.009;-0.007;
;;TD02[%];0.000;-0.014;-0.694;-0.694;-0.694;-0.694;-0.694;-0.694;-0.694;-0.694;-0.694;-0.694;-0.694;-0.694;-0.056;-0.013;-0.013;-0.010;
;;TD03[%];0.000;-0.062;-0.071;-0.599;-0.599;-0.599;-0.599;-0.599;-0.599;-0.599;-0.599;-0.599;-0.599;-0.116;-0.089;-0.038;-0.038;-0.034;
;;Таблица 1. Зависимость перемещения от давления



;;время;470.000;505.225;510.806;516.219;521.506;527.019;532.531;537.975;541.975;560.456;562.275;564.200;566.281;568.806;572.175;590.556;590.900;600.000;
;;TDD01[кгс/смкв];-0.000;5.003;10.005;15.009;20.014;25.017;30.019;35.020;36.699;30.019;25.026;20.003;14.998;10.002;4.987;0.044;0.067;0.008;
;;ДП01[мм];0.001;2.059;3.497;4.690;5.771;6.934;8.001;9.029;9.417;8.200;7.151;5.996;4.943;3.701;2.358;0.163;0.161;0.079;
;;ДП02[мм];0.032;2.060;3.486;4.692;5.833;6.952;8.059;9.157;9.490;8.297;7.228;6.027;4.966;3.716;2.380;0.223;0.228;0.141;
;;ДП03[мм];0.007;2.033;3.409;4.584;5.730;6.899;8.060;9.104;9.442;8.300;7.173;5.985;4.910;3.678;2.419;0.329;0.314;0.238;
;;Таблица 2. Зависимость деформации от давления


Испытания проводил;___________________
