Номер изделия:;;
Дата испытания:;;
Вид нагружения:;;



;;время;11.000;62.544;74.488;76.631;78.738;80.888;83.156;85.419;87.713;90.050;92.438;94.856;97.288;99.706;102.150;104.613;107.056;109.519;112.000;114.488;117.144;131.563;134.275;192.075;193.175;194.144;195.081;196.006;196.956;197.950;198.988;200.075;201.219;202.425;203.719;205.100;206.594;208.225;210.044;212.113;214.581;217.988;234.438;772.844;791.538;794.481;798.925;803.763;808.488;813.200;824.294;825.738;844.881;846.531;848.200;850.056;852.156;854.650;858.100;876.969;900.000;
;;TDD01[кгс/смкв];0.000;-0.011;4.995;10.008;15.010;20.005;25.007;30.005;35.010;40.009;45.003;50.009;55.008;60.002;65.003;70.008;75.001;80.003;85.012;90.002;95.001;100.001;101.740;95.040;90.038;85.031;80.009;75.031;70.029;65.021;60.019;55.017;50.023;45.037;40.023;35.023;30.025;25.035;20.029;15.032;10.040;5.042;0.136;0.229;10.013;15.007;20.002;25.000;30.002;35.005;40.000;40.280;35.028;30.024;25.041;20.031;15.034;10.042;5.039;0.110;0.152;
;;ДП01[мм];-0.000;0.001;1.293;2.469;3.537;4.687;5.905;7.069;8.210;9.214;10.172;10.930;11.605;12.310;13.028;13.759;14.481;15.231;15.984;16.737;17.546;18.429;18.681;17.863;17.007;16.132;15.345;14.421;13.608;12.739;11.856;10.962;9.981;9.036;8.088;7.068;6.113;4.969;3.838;2.589;1.293;-0.443;-2.314;-2.315;1.284;2.495;3.651;4.745;5.839;6.957;8.029;8.109;7.191;6.180;5.093;4.003;2.812;1.573;-0.104;-2.312;-2.314;
;;ДП02[мм];-0.000;-0.000;1.163;2.254;3.272;4.361;5.472;6.533;7.516;8.389;9.202;9.922;10.543;11.260;11.911;12.612;13.304;14.064;14.788;15.494;16.213;17.015;17.272;16.515;15.753;14.944;14.191;13.276;12.490;11.646;10.829;9.985;9.040;8.125;7.151;6.161;5.225;4.149;3.071;1.886;0.624;-0.969;-2.744;-2.711;0.594;1.795;2.902;3.979;5.006;6.065;7.012;7.046;6.193;5.166;4.136;3.117;1.997;0.753;-0.869;-2.762;-2.762;
;;ДП03[мм];-0.001;-0.000;1.218;2.390;3.563;4.835;6.096;7.277;8.373;9.399;10.308;11.058;11.768;12.494;13.210;13.971;14.671;15.468;16.261;17.027;17.825;18.732;18.968;18.194;17.336;16.480;15.636;14.685;13.932;13.021;12.157;11.244;10.245;9.297;8.335;7.328;6.385;5.208;4.017;2.696;1.329;-0.388;-2.961;-2.794;1.231;2.468;3.679;4.863;5.980;7.094;8.166;8.244;7.350;6.304;5.195;4.055;2.819;1.489;-0.148;-2.634;-2.635;
;;ДП04[мм];0.000;0.000;1.269;2.448;3.557;4.712;5.890;7.031;8.131;9.132;10.069;10.795;11.474;12.199;12.891;13.637;14.347;15.104;15.891;16.632;17.409;18.277;18.597;17.818;17.018;16.195;15.400;14.486;13.685;12.791;11.940;11.044;10.091;9.161;8.200;7.166;6.208;5.111;4.023;2.775;1.468;-0.223;-1.998;-2.003;1.218;2.467;3.637;4.734;5.753;6.875;7.891;7.912;7.141;6.117;5.069;4.017;2.820;1.517;-0.165;-2.003;-2.003;
;;Таблица 1. Зависимость перемещения от давления



;;время;11.000;62.544;74.488;76.631;78.738;80.888;83.156;85.419;87.713;90.050;92.438;94.856;97.288;99.706;102.150;104.613;107.056;109.519;112.000;114.488;117.144;131.563;134.275;192.075;193.175;194.144;195.081;196.006;196.956;197.950;198.988;200.075;201.219;202.425;203.719;205.100;206.594;208.225;210.044;212.113;214.581;217.988;234.438;772.844;791.538;794.481;798.925;803.763;808.488;813.200;824.294;825.738;844.881;846.531;848.200;850.056;852.156;854.650;858.100;876.969;900.000;
;;TDD01[кгс/смкв];0.000;-0.011;4.995;10.008;15.010;20.005;25.007;30.005;35.010;40.009;45.003;50.009;55.008;60.002;65.003;70.008;75.001;80.003;85.012;90.002;95.001;100.001;101.740;95.040;90.038;85.031;80.009;75.031;70.029;65.021;60.019;55.017;50.023;45.037;40.023;35.023;30.025;25.035;20.029;15.032;10.040;5.042;0.136;0.229;10.013;15.007;20.002;25.000;30.002;35.005;40.000;40.280;35.028;30.024;25.041;20.031;15.034;10.042;5.039;0.110;0.152;
;;Таблица 2. Зависимость деформации от давления


Испытания проводил;___________________
